data,label
"[array([-27.65653 ,  94.36548 , -20.578146,  49.886658, -14.699281,
        23.853004, -17.633308,  24.027565, -15.87746 ,  16.434723,
       -10.632629,  13.892767, -10.462795,   8.212202, -10.292511,
         5.016802,  -5.758277,  10.31377 ,   3.622611,   9.19917 ],
      dtype=float32)]",hiphop
"[array([-100.64651  ,  110.216705 ,    1.0290091,   38.75422  ,
        -14.497625 ,   20.640646 ,  -18.037575 ,   12.566879 ,
        -14.129199 ,   15.096194 ,   -9.24337  ,   11.397926 ,
         -9.50886  ,    8.637582 ,   -7.0989614,    2.990537 ,
         -4.511331 ,    4.692607 ,   -4.1138387,   -2.7817705],
      dtype=float32)]",hiphop
"[array([-44.723373 , 101.193695 , -26.262499 ,  52.928112 , -11.71543  ,
        26.944754 , -13.282815 ,  20.712088 , -17.486723 ,  11.86288  ,
       -10.666727 ,   8.381841 , -15.426938 ,   4.8783975, -10.051116 ,
         4.564088 ,  -1.9918473,   7.9792347,   1.2123257,   1.3652087],
      dtype=float32)]",hiphop
"[array([-63.147476 ,  86.30365  , -37.95675  ,  39.56944  , -16.530737 ,
        21.098028 , -12.261162 ,  13.075491 , -12.380371 ,  16.627066 ,
        -3.9949179,   8.840082 ,  -6.322553 ,   5.698435 ,  -6.304396 ,
         2.3077388,  -0.8495546,   6.523471 ,   4.6868777,   4.405478 ],
      dtype=float32)]",hiphop
"[array([-44.338444  ,  93.38643   , -22.309427  ,  48.852543  ,
       -13.904016  ,  34.413067  ,  -6.32592   ,  25.873789  ,
       -12.339953  ,  20.430222  ,  -5.7629786 ,  11.865527  ,
       -11.55436   ,  10.151673  ,  -3.9578185 ,  10.602381  ,
         0.83757424,   9.2124815 ,   1.7233537 ,  -0.21945429],
      dtype=float32)]",hiphop
"[array([-102.89939   ,   30.651878  ,   20.850288  ,   45.66796   ,
          9.681037  ,    8.775831  ,    1.5652864 ,   12.388126  ,
          0.55941296,    5.1369996 ,   -2.7244704 ,    8.163298  ,
         -1.3305277 ,    3.326149  ,    1.2415822 ,    3.23453   ,
         -2.711045  ,    5.7488914 ,   -0.7238461 ,    2.7033617 ],
      dtype=float32)]",hiphop
"[array([-109.31013   ,   76.754234  ,    2.786183  ,   19.187447  ,
          0.56318575,    8.245012  ,   -8.03061   ,    6.0124817 ,
         -4.275914  ,    3.6560717 ,   -1.5355548 ,    2.6638358 ,
          2.283866  ,    2.864195  ,   -5.218628  ,    5.35988   ,
         -6.171876  ,    2.2480874 ,   -2.446409  ,   -5.933982  ],
      dtype=float32)]",hiphop
"[array([-83.2537   ,  67.73527  ,   1.2410202,  29.653978 ,  12.586731 ,
         5.6169643,   6.2087727,   8.087188 ,  -4.7669544,   7.666656 ,
        -1.1727865,   4.248984 ,   1.9444281,   1.0314817,   2.3869328,
         3.1086676,  -8.0600195,   1.6635858,  -1.6524816,  -3.2803755],
      dtype=float32)]",hiphop
"[array([-72.31159   ,  57.15118   ,   5.8386006 ,  25.909645  ,
         6.706988  ,  11.402707  ,   5.0632772 ,  10.026864  ,
         0.9482092 ,   8.561545  ,  -1.6964636 ,   6.0592165 ,
         0.21398926,   5.043593  ,  -1.9047036 ,   6.2093773 ,
         0.2189392 ,   4.175263  ,   0.2955493 ,   5.9076376 ],
      dtype=float32)]",hiphop
"[array([-23.859095  ,  43.71672   ,  30.558304  ,  26.47368   ,
         4.3383617 ,  21.920883  ,   2.5954418 ,   7.001879  ,
        -1.4912325 ,   4.5795946 ,   0.41853642,   2.4708798 ,
        -4.068917  ,  -2.0178864 ,  -3.5649893 ,  -0.12549086,
        -2.4735868 ,  -1.0351753 ,  -4.772616  ,  -2.615393  ],
      dtype=float32)]",hiphop
"[array([-2.5108788e+01,  6.0825592e+01, -4.1871734e+00,  1.4848390e+01,
        6.7950230e+00,  6.0983334e+00,  1.5451296e+01,  3.7847345e+00,
        5.6598086e+00,  1.0247507e+01,  8.6333078e-01,  4.1838894e+00,
        9.2620492e-01,  3.2527385e+00,  2.1559037e-01,  2.6983185e+00,
        7.0473069e-01,  8.9628994e-01,  3.6175922e-01, -6.4073214e-03],
      dtype=float32)]",hiphop
"[array([-148.12135   ,   90.56765   ,   -0.2753232 ,   28.855238  ,
         19.306164  ,   15.245029  ,    4.2814665 ,   15.519956  ,
          1.2726042 ,   11.129076  ,    8.849079  ,    6.316172  ,
          1.6312523 ,    1.4264013 ,   -3.4119391 ,    1.1954081 ,
         -0.72351336,    0.7817317 ,   -0.45094883,    1.7203565 ],
      dtype=float32)]",hiphop
"[array([-31.762894  ,  59.701424  ,  -2.744976  ,  33.420628  ,
        13.097368  ,   9.410452  ,  -1.7237393 ,  14.170766  ,
         3.0802038 ,   6.734939  ,   1.0862203 ,   3.8186073 ,
         1.6549314 ,   1.2265053 ,  -1.4983952 ,  -0.13912651,
        -1.5426289 ,   1.7986809 ,   1.547485  ,  -2.3022916 ],
      dtype=float32)]",hiphop
"[array([ 5.626782  , 53.15753   , -9.091201  , 26.983356  ,  0.5944695 ,
       15.572928  ,  1.6008061 ,  7.68756   ,  4.9796963 ,  8.549695  ,
        3.3433354 ,  8.506849  ,  1.0881997 ,  4.908385  ,  0.84711295,
        3.3546793 , -2.9016843 ,  2.7760177 , -1.8038847 , -0.28592327],
      dtype=float32)]",hiphop
"[array([-100.84442  ,   64.227585 ,   12.814461 ,   26.545551 ,
         12.6584   ,   12.176756 ,    2.3962328,   18.495611 ,
          1.5657251,   12.027026 ,   -1.5520722,    6.7103066,
          3.8736312,    3.0808942,    1.7625954,    4.565472 ,
         -2.3719351,    5.457307 ,    2.7904289,    3.6488392],
      dtype=float32)]",hiphop
"[array([-218.08333  ,   40.829613 ,  -14.313482 ,   33.910255 ,
         12.158746 ,   13.611059 ,    5.877001 ,    7.524019 ,
          5.3885093,   10.563416 ,    4.7587986,    6.447478 ,
          6.524984 ,    5.527981 ,    2.595776 ,   -1.6815468,
         -1.6427519,    3.3167622,    5.2164116,    4.0430613],
      dtype=float32)]",hiphop
"[array([-95.94046   ,  30.268175  ,   2.6401818 ,  12.595183  ,
       -11.173503  ,  -2.2091284 ,  -3.686765  ,  -7.669313  ,
        -5.387625  ,  -0.7307738 ,  -4.0471606 ,  -3.0586393 ,
        -4.9752517 ,  -3.2091753 ,  -4.2563944 ,  -2.6788945 ,
        -3.5295167 ,  -0.41617733,  -2.9791667 ,   2.3001385 ],
      dtype=float32)]",hiphop
"[array([-6.1835876e+01,  7.2131081e+01, -1.6305073e+01,  2.7443157e+01,
        5.2088065e+00,  1.4985305e+00,  3.9459920e+00,  8.3317003e+00,
       -2.1303649e+00,  5.8373542e+00,  4.6645932e-02, -4.3664661e-01,
       -7.8647792e-01, -1.6246748e+00, -7.4162804e-02,  3.2369440e+00,
        6.8925571e-01,  1.0858523e+00, -1.1185853e+00, -3.2701938e+00],
      dtype=float32)]",hiphop
"[array([-1.2094078e+02,  7.7271294e+01,  2.9065611e+01,  1.0437187e+01,
        3.5667603e+00,  5.3683963e+00,  5.1985559e+00, -8.0171788e-01,
        1.3497727e+00,  2.3029740e+00,  3.0739121e+00,  1.1976855e+00,
       -6.7196214e-01, -4.9405689e+00, -6.1678477e-02, -4.4861002e+00,
       -2.2154818e+00, -1.3785951e+00, -3.0809281e+00, -7.3577328e+00],
      dtype=float32)]",hiphop
"[array([-182.9864    ,   95.955444  ,   43.948254  ,   13.522106  ,
          5.9876814 ,   -3.019344  ,    3.0836813 ,   -9.802795  ,
         -3.7693412 ,    5.308352  ,   -1.0465811 ,    7.543807  ,
          5.8555245 ,   -0.29765427,    0.49955556,    0.76312566,
         -5.5287404 ,   -5.2310967 ,   -3.3074722 ,   -5.085406  ],
      dtype=float32)]",hiphop
"[array([-7.7004059e+01,  6.8319458e+01, -6.4739150e-01,  3.0709860e+01,
        3.9499156e+00,  5.4936361e+00,  3.3855941e+00,  3.0454907e+00,
        5.6489220e+00,  4.7247949e+00,  4.2856207e+00,  3.4607201e+00,
        2.8874722e+00,  1.4367249e+00, -2.2967932e+00, -2.5643852e+00,
       -5.0145822e+00, -3.9645009e+00, -5.7228184e+00, -4.0206723e-02],
      dtype=float32)]",hiphop
"[array([-74.73161  ,  48.89044  ,   3.8210833,  36.29552  ,  12.96853  ,
        13.447174 ,   9.112768 ,  12.724713 ,   2.4919138,  12.091033 ,
         8.99561  ,   3.9080641,   4.785855 ,   1.4901077,   3.0510886,
         4.4357505,  -4.1812606,   2.8459814,   2.7624748,   2.778491 ],
      dtype=float32)]",hiphop
"[array([-154.78532   ,  113.06958   ,   -3.8357592 ,   18.290533  ,
         13.33117   ,    8.434421  ,    8.840064  ,   11.33439   ,
          8.993481  ,   10.143327  ,    6.1992917 ,    9.774344  ,
          9.39089   ,    2.339835  ,    2.9200807 ,    7.5980115 ,
         -2.6489346 ,    0.90394074,    0.5023126 ,    0.80382013],
      dtype=float32)]",hiphop
"[array([-268.93674   ,   79.90777   ,  -16.974983  ,   19.053911  ,
          2.3454294 ,   -7.1083302 ,    4.773146  ,   -7.59437   ,
        -10.017847  ,   10.818717  ,   -2.7683125 ,   -5.481197  ,
          2.299792  ,   -6.8884115 ,    0.39215338,   -1.9245324 ,
         -8.534197  ,   -3.2074516 ,   -4.3392024 ,   -1.4619551 ],
      dtype=float32)]",hiphop
"[array([-1.2094078e+02,  7.7271294e+01,  2.9065611e+01,  1.0437187e+01,
        3.5667603e+00,  5.3683963e+00,  5.1985559e+00, -8.0171788e-01,
        1.3497727e+00,  2.3029740e+00,  3.0739121e+00,  1.1976855e+00,
       -6.7196214e-01, -4.9405689e+00, -6.1678477e-02, -4.4861002e+00,
       -2.2154818e+00, -1.3785951e+00, -3.0809281e+00, -7.3577328e+00],
      dtype=float32)]",hiphop
"[array([-75.62651   ,  91.01366   ,   9.83432   ,  25.111555  ,
        11.793615  ,  10.168802  ,   0.11760896,   8.224965  ,
         1.6325192 ,   0.48827597,   1.8103347 ,   5.4946136 ,
         1.3010279 ,   1.1449481 ,  -1.1759856 ,   0.3903069 ,
        -1.2030307 ,  -2.0509994 ,  -1.1986288 ,  -2.6345057 ],
      dtype=float32)]",hiphop
"[array([-76.705734  ,  52.78695   ,  34.63606   ,  26.197575  ,
        16.664793  ,  11.354165  ,   5.861285  ,   6.9141855 ,
         3.6776621 ,  -0.9586153 ,   3.87444   ,   4.487364  ,
         0.6391593 ,   5.4336534 ,   4.1947055 ,   0.81152654,
         1.6309175 ,   0.69367623,  -2.8054793 ,  -3.4080603 ],
      dtype=float32)]",hiphop
"[array([-8.7560478e+01,  7.9353813e+01,  2.5052843e+01,  4.5152496e+01,
        1.1185015e+01,  1.8171783e+01,  3.5164936e+00,  6.9995470e+00,
        1.2637459e+00,  2.3608534e+00, -1.7756817e+00, -8.6625665e-03,
       -2.7024157e+00, -4.8379934e-01, -5.2555757e+00, -3.8656323e+00,
       -2.5043306e+00, -4.6742921e+00, -4.9827003e+00, -4.4252176e+00],
      dtype=float32)]",hiphop
"[array([-44.586338 ,  41.58716  ,  29.919216 ,  51.871937 ,  12.878272 ,
        13.72171  ,   7.9571733,   9.288721 ,   8.39591  ,   1.9085698,
         1.1404614,   4.5597878,   5.519351 ,   1.3191726,   2.3586175,
        -0.8025535,  -4.256165 ,  -3.574641 ,  -3.8377788,  -4.442885 ],
      dtype=float32)]",hiphop
"[array([-114.05457  ,  110.12894  ,   17.897541 ,   37.944332 ,
         27.987617 ,    1.405787 ,   15.552603 ,    1.4244986,
          7.359582 ,   -3.319526 ,    8.256998 ,   -0.1889064,
          0.6798427,    3.3433783,   -2.4709635,    0.7678117,
         -4.8511853,   -2.395553 ,   -3.285419 ,   -4.608737 ],
      dtype=float32)]",hiphop
"[array([-78.70536  ,  73.10555  ,  21.826069 ,  49.19616  ,   3.1053555,
        18.316319 ,   1.8645644,   8.3988495,   1.426505 ,   4.221521 ,
        -1.3166566,   1.2564663,  -3.0075817,   1.8005416,  -1.8447683,
        -0.9998016,  -1.9077119,  -2.6412976,  -4.7969174,  -4.8740335],
      dtype=float32)]",hiphop
"[array([-1.46459549e+02,  8.15576630e+01,  3.19633293e+01,  2.24117718e+01,
        5.07759714e+00,  1.36172695e+01,  6.48769379e+00,  8.40861702e+00,
        4.43540430e+00,  4.99752140e+00,  1.82958341e+00,  2.86629343e+00,
        4.52970982e+00,  3.85486674e+00,  1.33674502e+00,  1.23188388e+00,
        5.79615891e-01, -1.66258961e-01, -6.50983155e-01, -8.22212324e-02],
      dtype=float32)]",hiphop
"[array([-1.4492160e+02,  6.6675064e+01,  4.4269444e+01,  2.2512159e+01,
        6.5049381e+00,  8.8470964e+00,  1.1890135e+01,  5.8388309e+00,
        3.0452945e+00,  6.4549541e+00,  3.5658360e+00,  2.5241907e+00,
        3.8298790e+00,  3.7193320e+00,  6.8217368e+00,  5.0646563e+00,
        4.7777042e-01,  1.0816031e+00,  1.9556488e+00, -7.3385946e-02],
      dtype=float32)]",hiphop
"[array([-104.79348   ,   64.03617   ,   28.8045    ,   10.56003   ,
         15.176521  ,   13.067325  ,    8.025532  ,    5.239075  ,
          6.7465467 ,    5.1255465 ,    4.450881  ,    4.4701214 ,
          3.3572874 ,    2.427763  ,    0.18994239,   -1.5184566 ,
         -2.5634263 ,   -1.191898  ,   -2.1913831 ,   -1.8783262 ],
      dtype=float32)]",hiphop
"[array([-1.6152745e+02,  1.0406318e+02, -1.0907194e+01,  4.3697933e+01,
        1.3963114e+01,  1.4444334e+01,  7.5068660e+00,  9.4815245e+00,
        6.4333916e+00,  6.9894309e+00,  1.3591906e+00,  4.4343042e+00,
       -2.9288797e+00, -3.2165439e+00,  3.8544599e-02,  4.1522975e+00,
       -6.4352865e+00, -4.9631882e+00, -4.2097707e+00, -2.2778883e+00],
      dtype=float32)]",hiphop
"[array([-101.071526 ,   72.41138  ,   -2.3714323,   46.025467 ,
          5.5287857,   24.215315 ,    3.5469203,   14.532065 ,
          5.650925 ,   13.522768 ,    4.9679723,    9.9139805,
          2.9338572,   -3.011142 ,   -1.2484565,    2.3096156,
         -2.8161366,    1.7621337,    0.8564974,   -4.3606477],
      dtype=float32)]",hiphop
"[array([-113.623055  ,   87.05368   ,   -0.64112425,   52.261642  ,
         19.37811   ,   19.67521   ,   15.385646  ,   13.703338  ,
          6.950013  ,    9.077205  ,    7.971615  ,    4.4166303 ,
         -0.15431143,   -0.43441978,    0.22512798,   -0.8328568 ,
         -2.1803095 ,   -1.9919996 ,   -4.4398932 ,   -4.299701  ],
      dtype=float32)]",hiphop
"[array([-109.82442  ,   63.054916 ,  -13.828153 ,   43.01986  ,
          6.1724057,   23.183786 ,    8.033159 ,   10.669684 ,
          0.968362 ,    5.329999 ,   -1.8259578,   -1.4317561,
         -1.8608029,   -3.1810365,   -4.737015 ,   -3.8031566,
         -5.5285573,   -3.1891098,   -3.2604816,   -3.9268665],
      dtype=float32)]",hiphop
"[array([-133.19142  ,   93.95369  ,   -2.2407176,   50.202217 ,
         12.499554 ,   15.040485 ,   11.499115 ,   10.2495985,
          7.9568863,   10.791148 ,    1.9635901,    5.1979475,
          1.0622269,    2.167043 ,   -1.5164307,   -0.4504701,
         -2.4652188,   -3.8745015,   -1.7067004,   -2.768504 ],
      dtype=float32)]",hiphop
"[array([-1.53543945e+02,  9.27962799e+01, -1.58539295e+01,  5.79331932e+01,
        8.58076286e+00,  1.84615688e+01,  1.32791157e+01,  1.11650991e+01,
        7.61866713e+00,  1.29682016e+01,  5.65740156e+00,  7.01702547e+00,
        2.88519621e+00,  1.61299539e+00,  1.32888118e-02,  3.02664900e+00,
       -2.33865753e-01, -1.38989270e+00, -2.31856179e+00, -1.33011627e+00],
      dtype=float32)]",hiphop
"[array([-127.280014 ,   95.79218  ,  -12.782047 ,   37.926857 ,
         20.56561  ,   23.201853 ,    8.269457 ,    9.612638 ,
          8.668725 ,    5.510033 ,    6.6769104,    4.0242624,
          1.7337765,    0.7089213,   -0.4317715,    2.2407367,
         -1.6001177,   -1.2176809,   -2.2143807,   -0.7449836],
      dtype=float32)]",hiphop
"[array([-144.11632   ,   73.39045   ,    4.657706  ,   24.01729   ,
         12.901474  ,   14.00732   ,    8.624697  ,    6.899631  ,
         -1.2319987 ,   -0.85806066,    1.1545575 ,    2.579781  ,
         -1.1144276 ,    3.1324372 ,   -4.2417855 ,   -0.46726364,
          1.648961  ,    1.2019845 ,   -0.4810838 ,   -2.0395997 ],
      dtype=float32)]",hiphop
"[array([-9.8853745e+01,  7.1112129e+01, -1.0053335e+01,  3.1729233e+01,
        5.1477122e+00,  1.8780879e+00, -8.9037504e+00, -4.2622499e+00,
       -5.9646840e+00, -4.2666512e+00, -6.6418374e-01, -1.8670931e+00,
       -5.1587856e-01,  2.5775321e+00, -1.0610514e+00,  2.2003837e+00,
       -3.9452794e+00,  1.2060615e+00,  2.7784672e-01,  6.5609090e-02],
      dtype=float32)]",hiphop
"[array([-82.389885  ,  69.9665    ,  10.69905   ,  48.823395  ,
         4.6501894 ,  13.297807  ,  -1.7968223 ,   5.1300416 ,
        -1.0847992 ,  -2.7969444 ,  -2.5503407 ,   0.22138514,
        -3.1227164 ,   2.307379  ,  -2.7005353 ,  -0.77895916,
         1.7283928 ,  -5.130926  ,  -5.698678  ,  -3.7948177 ],
      dtype=float32)]",hiphop
"[array([-140.10194  ,   77.09097  ,   42.042377 ,   31.247862 ,
         12.197926 ,   10.2141695,    3.7384353,    8.296796 ,
         -1.5552227,   -1.76049  ,    3.6245475,    4.591823 ,
         -2.5488021,    1.8554648,   -2.7649348,   -3.618874 ,
         -2.6323533,   -1.5260715,   -2.6521537,   -5.081056 ],
      dtype=float32)]",hiphop
"[array([-111.97783   ,   89.09961   ,   13.175455  ,   36.359657  ,
         -3.2765715 ,    3.877864  ,    0.5601915 ,    6.327396  ,
         -2.1887617 ,    2.9669955 ,   -1.6431162 ,   -0.37794456,
         -3.478565  ,    0.7700504 ,   -0.22705078,   -3.190697  ,
         -3.7023087 ,   -3.9954925 ,   -3.0225985 ,   -2.4588232 ],
      dtype=float32)]",hiphop
"[array([-74.66587  ,  58.725624 ,   9.9149685,  21.557991 ,  15.055373 ,
         4.9287863,   2.2788138,   5.463174 ,   3.1182055,   0.5998957,
         2.4616172,   4.2016363,   3.4685113,   3.595682 ,   2.7739656,
         1.8868796,  -1.6994164,  -1.1438513,  -1.3498927,  -4.0139174],
      dtype=float32)]",hiphop
"[array([-66.12838   ,  74.913     ,  20.638704  ,  39.30214   ,
         8.165499  ,  15.136998  ,  -0.37553477,   5.5735135 ,
         1.4621953 ,  -0.64992875,  -1.5591092 ,   1.4431081 ,
        -2.4078412 ,  -2.194806  ,  -4.324259  ,  -4.4145594 ,
        -5.126608  ,  -4.293459  ,  -6.3408685 ,  -5.016051  ],
      dtype=float32)]",hiphop
"[array([-59.28568   ,  36.266663  ,  39.8319    ,  49.96692   ,
        10.147771  ,  16.897055  ,   9.78029   ,   4.446478  ,
         2.4262035 ,   1.704509  ,   2.3705528 ,   3.9136555 ,
         3.1900172 ,   2.6282756 ,   3.2219524 ,   1.4744266 ,
        -0.69306034,  -3.158557  ,  -2.0991607 ,  -2.3765256 ],
      dtype=float32)]",hiphop
"[array([-81.72639   ,  82.33733   ,  53.536568  ,  25.525997  ,
        15.728674  ,  19.205505  ,   8.432267  ,   6.390246  ,
         0.20682313,   0.13791882,   1.2020646 ,   1.532111  ,
        -0.7304982 ,   1.3523008 ,  -0.3884153 ,  -3.121266  ,
        -0.4918478 ,  -0.7469335 ,  -3.7749355 ,  -2.5100982 ],
      dtype=float32)]",hiphop
